Drug	Disease
DB01068	608105
DB00313	208700
DB00313	267740
DB00313	300491
DB00313	600131
DB00313	604827
DB00313	607628
DB00313	607631
DB00313	607681
DB00313	607682
DB00313	608105
DB00564	208700
DB00564	267740
DB00564	300491
DB00564	600131
DB00564	604827
DB00564	607628
DB00564	607631
DB00564	607681
DB00564	607682
DB00564	608105
DB01043	208700
DB01043	267740
DB01043	300491
DB01043	600131
DB01043	604827
DB01043	607628
DB01043	607631
DB01043	607681
DB01043	607682
DB01043	608105
DB04953	208700
DB04953	267740
DB04953	300491
DB04953	600131
DB04953	604827
DB04953	607628
DB04953	607631
DB04953	607681
DB04953	607682
DB04953	608105
DB01174	208700
DB01174	267740
DB01174	300491
DB01174	600131
DB01174	604827
DB01174	607628
DB01174	607631
DB01174	607681
DB01174	607682
DB01174	608105
DB00794	208700
DB00794	267740
DB00794	300491
DB00794	600131
DB00794	604827
DB00794	607628
DB00794	607631
DB00794	607681
DB00794	607682
DB00794	608105
DB00776	208700
DB00776	267740
DB00776	300491
DB00776	600131
DB00776	604827
DB00776	607628
DB00776	607631
DB00776	607681
DB00776	607682
DB00776	608105
DB00423	208700
DB00423	267740
DB00423	300491
DB00423	600131
DB00423	604827
DB00423	607628
DB00423	607631
DB00423	607681
DB00423	607682
DB00423	608105
DB01595	208700
DB01595	267740
DB01595	300491
DB01595	600131
DB01595	604827
DB01595	607628
DB01595	607631
DB01595	607681
DB01595	607682
DB01595	608105
DB00909	208700
DB00909	267740
DB00909	300491
DB00909	600131
DB00909	604827
DB00909	607628
DB00909	607631
DB00909	607681
DB00909	607682
DB00909	608105
DB00683	208700
DB00683	267740
DB00683	300491
DB00683	600131
DB00683	604827
DB00683	607628
DB00683	607631
DB00683	607681
DB00683	607682
DB00683	608105
DB01080	208700
DB01080	267740
DB01080	300491
DB01080	600131
DB01080	604827
DB01080	607628
DB01080	607631
DB01080	607681
DB01080	607682
DB01080	608105
DB06218	208700
DB06218	267740
DB06218	300491
DB06218	600131
DB06218	604827
DB06218	607628
DB06218	607631
DB06218	607681
DB06218	607682
DB06218	608105
DB09119	208700
DB09119	267740
DB09119	300491
DB09119	600131
DB09119	604827
DB09119	607628
DB09119	607631
DB09119	607681
DB09119	607682
DB09119	608105
DB06201	208700
DB06201	267740
DB06201	300491
DB06201	600131
DB06201	604827
DB06201	607628
DB06201	607631
DB06201	607681
DB06201	607682
DB06201	608105
DB00262	137800
DB00855	137800
DB01249	137800
DB00271	137800
DB00853	137800
DB01249	155255
DB00262	155255
DB00271	155255
DB01008	247640
DB01181	247640
DB05494	247640
DB00541	247640
DB01204	247640
DB00619	247640
DB00631	247640
DB08901	247640
DB01254	247640
DB01033	247640
DB01005	167000
DB00291	167000
DB01143	167000
DB01008	167000
DB00515	167000
DB00958	167000
DB00252	239350
DB01378	239350
DB00829	239350
DB00623	239350
DB00564	239350
DB00819	239350
DB00176	239350
DB00297	239350
DB09134	239350
DB00313	239350
DB00996	239350
DB01068	239350
DB01156	239350
DB00165	239350
DB01205	239350
DB00537	239350
DB05488	239350
DB00349	239350
DB00262	239350
DB00754	239350
DB00555	239350
DB00363	239350
DB01080	239350
DB01165	239350
DB00333	239350
DB04953	239350
DB00370	239350
DB05246	239350
DB00750	239350
DB00669	239350
DB00653	239350
DB00776	239350
DB01174	239350
DB00683	239350
DB01236	239350
DB09119	239350
DB06201	239350
DB06218	239350
DB00945	125310
DB00271	125310
DB00215	125310
DB01249	125310
DB00152	165199
DB00152	260970
DB08910	165199
DB08910	260970
DB01378	189800
DB01378	189800
DB01378	189800
DB00310	189800
DB00310	189800
DB00310	189800
DB01275	189800
DB01275	189800
DB01275	189800
DB00999	189800
DB00999	189800
DB00999	189800
DB00880	189800
DB00880	189800
DB00880	189800
DB00808	189800
DB00808	189800
DB00808	189800
DB00384	189800
DB00384	189800
DB00384	189800
DB00653	189800
DB00653	189800
DB00653	189800
DB01247	608516
DB00215	608516
DB01242	608516
DB00813	608516
DB00176	608516
DB00321	608516
DB00472	608516
DB01156	608516
DB00285	608516
DB00934	608516
DB01037	608516
DB01171	608516
DB00370	608516
DB00334	608516
DB01238	608516
DB00656	608516
DB06148	608516
DB00234	608516
DB01224	608516
DB01149	608516
DB06594	608516
DB06700	608516
DB00313	254770
DB00313	254800
DB00564	254770
DB00564	254800
DB01068	254770
DB01068	254800
DB01595	254770
DB01595	254800
DB01080	254770
DB01080	254800
DB00557	607834
DB01247	607834
DB01558	607834
DB00490	607834
DB00349	607834
DB00628	607834
DB00450	607834
DB00176	607834
DB00543	607834
DB00472	607834
DB00215	607834
DB00404	607834
DB00829	607834
DB00934	607834
DB01608	607834
DB00734	607834
DB01595	607834
DB00831	607834
DB00656	607834
DB01174	607834
DB00433	607834
DB00370	607834
DB09117	607834
DB00285	607834
DB00842	607834
DB00186	607834
DB00371	607834
DB01077	147530
DB00787	147530
DB00924	147530
DB00482	147530
DB00813	147530
DB00316	147530
DB00297	147530
DB00426	147530
DB00465	147530
DB01009	147530
DB00181	147530
DB00861	147530
DB00575	147530
DB01086	147530
DB00450	147530
DB00573	147530
DB01050	147530
DB00564	147530
DB00328	147530
DB00712	147530
DB00996	147530
DB00945	147530
DB00501	147530
DB00936	147530
DB00281	147530
DB05291	147530
DB01097	147530
DB00454	147530
DB01069	147530
DB01204	147530
DB00669	147530
DB00333	147530
DB01438	147530
DB00571	147530
DB09117	147530
DB00708	147530
DB00802	147530
DB00533	147530
DB00647	147530
DB06793	147530
DB00784	147530
DB00918	147530
DB01115	147530
DB09084	147530
DB01628	147530
DB00727	147530
DB06802	147530
DB00313	300125
DB00313	157300
DB00829	300125
DB00829	157300
DB00813	300125
DB00813	157300
DB01050	300125
DB01050	157300
DB00945	300125
DB00945	157300
DB01184	300125
DB01184	157300
DB00316	300125
DB00316	157300
DB00575	300125
DB00575	157300
DB00373	300125
DB00373	157300
DB00533	300125
DB00533	157300
DB00918	300125
DB00918	157300
DB00264	300125
DB00264	157300
DB00998	300125
DB00998	157300
DB00216	300125
DB00216	157300
DB00953	300125
DB00953	157300
DB00952	300125
DB00952	157300
DB00571	300125
DB00571	157300
DB01233	300125
DB01233	157300
DB00669	300125
DB00669	157300
DB00433	300125
DB00433	157300
DB01136	540000
DB01136	601367
DB00999	540000
DB00999	601367
DB00945	540000
DB00945	601367
DB01275	540000
DB01275	601367
DB00988	540000
DB00988	601367
DB00678	540000
DB00678	601367
DB01115	540000
DB01115	601367
DB00727	540000
DB00727	601367
DB00641	540000
DB00641	601367
DB00489	540000
DB00489	601367
DB00841	540000
DB00841	601367
DB00208	540000
DB00208	601367
DB00264	540000
DB00264	601367
DB00966	540000
DB00966	601367
DB00398	540000
DB00398	601367
DB06605	540000
DB06605	601367
DB06209	540000
DB06209	601367
DB08816	540000
DB08816	601367
DB06703	540000
DB06703	601367
DB00945	308205
DB00669	308205
DB00918	308205
DB00531	109800
DB00531	109800
DB00515	109800
DB00515	109800
DB00958	109800
DB00958	109800
DB00176	164230
DB00176	164230
DB00176	164230
DB00215	164230
DB00215	164230
