diseaseid,hpoid
607628,hpo:0002123
607628,hpo:0002121
607628,hpo:0007193
267740,hpo:0000007
267740,hpo:0001250
267740,hpo:0000546
210050,hpo:0000007
210050,hpo:0001250
210050,hpo:0004322
210050,hpo:0001263
210050,hpo:0001399
210050,hpo:0001394
210050,hpo:0001409
210050,hpo:0007029
210050,hpo:0002097
210050,hpo:0007238
208550,hpo:0000007
208550,hpo:0002099
208550,hpo:0100582
208550,hpo:0012042
600807,hpo:0000006
600807,hpo:0002099
600807,hpo:0001426
151400,hpo:0005550
151400,hpo:0001428
151400,hpo:0005374
151400,hpo:0001444
258360,hpo:0000007
258360,hpo:0001256
258360,hpo:0001598
258360,hpo:0002719
258360,hpo:0002212
258360,hpo:0001875
258360,hpo:0009886
258360,hpo:0100827
258360,hpo:0010764
258360,hpo:0002225
258360,hpo:0001804
258360,hpo:0007665
258360,hpo:0007717
258360,hpo:0410252
109543,hpo:0000006
109543,hpo:0005550
126200,hpo:0001257
126200,hpo:0007305
126200,hpo:0001324
126200,hpo:0001426
126200,hpo:0000712
126200,hpo:0000716
126200,hpo:0000020
126200,hpo:0003401
126200,hpo:0002311
126200,hpo:0000651
126200,hpo:0000019
603165,hpo:0000006
603165,hpo:0000518
603165,hpo:0002099
603165,hpo:0001939
603165,hpo:0000958
603165,hpo:0001047
603165,hpo:0000509
603165,hpo:0001041
603165,hpo:0000989
603165,hpo:0000563
603165,hpo:0008064
603165,hpo:0000964
603165,hpo:0000980
603165,hpo:0003193
603165,hpo:0001581
603165,hpo:0032152
603165,hpo:0012537
603165,hpo:0007453
603165,hpo:0011232
151590,hpo:0000006
151590,hpo:0030731
151590,hpo:0002860
133600,hpo:0000006
133600,hpo:0100777
125600,hpo:0000006
125600,hpo:0000951
164230,hpo:0000006
164230,hpo:0000739
164230,hpo:0000716
164230,hpo:0000722
164230,hpo:0030212
164230,hpo:0012166
167870,hpo:0000006
167870,hpo:0000739
115000,hpo:0000006
115000,hpo:0001699
115000,hpo:0000707
115000,hpo:0006696
134510,hpo:0000006
134510,hpo:0003125
134510,hpo:0011858
134520,hpo:0000006
134520,hpo:0000978
134520,hpo:0001373
134520,hpo:0003645
134520,hpo:0031364
134520,hpo:0005261
134430,hpo:0000006
134430,hpo:0003125
134430,hpo:0002584
