diseaseid,hpoid
273800,mesh:D002118
273800,mesh:D020125
273800,mesh:D013921
273800,mesh:D005808
273800,mesh:D006224
273800,mesh:D018807
273800,mesh:D007557
273800,mesh:D020641
273800,mesh:D007519
273800,mesh:D000483
273800,mesh:D004247
273800,mesh:D008659
273800,mesh:D003165
273800,mesh:D006580
273800,mesh:D017354
273800,mesh:D011956
273800,mesh:D025063
273800,mesh:D018703
273800,mesh:D002869
273800,mesh:D001665
273800,mesh:D019556
273800,mesh:D005796
273800,mesh:D013917
273800,mesh:D007231
273800,mesh:D002478
273800,mesh:D017433
273800,mesh:D003937
273800,mesh:D012333
273800,mesh:D013997
273800,mesh:D007527
273800,mesh:D006680
273800,mesh:D006487
273800,mesh:D001791
273800,mesh:D000911
273800,mesh:D002448
273800,mesh:D005006
273800,mesh:D011247
273800,mesh:D010336
273800,mesh:D006720
273800,mesh:D000954
273800,mesh:D005602
273800,mesh:D017398
273800,mesh:D008854
273800,mesh:D007122
273800,mesh:D008970
273800,mesh:D002460
273800,mesh:D020033
273800,mesh:D012313
273800,mesh:D013696
273800,mesh:D008274
273800,mesh:D005787
273800,mesh:D005786
273800,mesh:D013577
273800,mesh:D014162
273800,mesh:D001798
273800,mesh:D004798
273800,mesh:D005434
273800,mesh:D005455
273800,mesh:D001803
273800,mesh:D005826
273800,mesh:D001779
273800,mesh:D016026
273800,mesh:D006023
273800,mesh:D010976
273800,mesh:D016366
273800,mesh:D007123
273800,mesh:D004796
273800,mesh:D000941
273800,mesh:D004721
273800,mesh:D000255
273800,mesh:D016297
273800,mesh:D001792
273800,mesh:D013557
273800,mesh:D004591
273800,mesh:D001780
273800,mesh:D007585
273800,mesh:D001797
273800,mesh:D006822
273800,mesh:D008565
273800,mesh:D005315
273800,mesh:D014357
273800,mesh:D001778
273800,mesh:D015703
273800,mesh:D007106
273800,mesh:D004915
273800,mesh:D007773
273800,mesh:D007700
273800,mesh:D002462
273800,mesh:D004837
273800,mesh:D014176
273800,mesh:D010084
273800,mesh:D002846
273800,mesh:D009504
273800,mesh:D002986
273800,mesh:D000596
273800,mesh:D001345
273800,mesh:D012995
273800,mesh:D000906
273800,mesh:D005340
273800,mesh:D011517
273800,mesh:D016023
273800,mesh:D013329
273800,mesh:D039661
273800,mesh:D011498
273800,mesh:D007194
273800,mesh:D039041
273800,mesh:D001777
273800,mesh:D008807
273800,mesh:D008595
273800,mesh:D011817
273800,mesh:D005978
273800,mesh:D010770
273800,mesh:D009841
273800,mesh:D006470
273800,mesh:D007074
273800,mesh:D010088
273800,mesh:D010974
273800,mesh:D000918
273800,mesh:D004375
273800,mesh:D002498
273800,mesh:D010455
273800,mesh:D007457
273800,mesh:D008856
273800,mesh:D008285
273800,mesh:D012537
273800,mesh:D019143
273800,mesh:D013925
273800,mesh:D002999
273800,mesh:D019039
273800,mesh:D006178
273800,mesh:D013194
273800,mesh:D010980
273800,mesh:D049673
273800,mesh:D000244
273800,mesh:D005821
273800,mesh:D006474
273800,mesh:D012794
273800,mesh:D007597
273800,mesh:D005980
273800,mesh:D010372
273800,mesh:D002850
273800,mesh:D000936
273800,mesh:D001224
273800,mesh:D002902
273800,mesh:D005188
273800,mesh:D010973
273800,mesh:D049672
273800,mesh:D008566
273800,mesh:D014316
273800,mesh:D000614
273800,mesh:D011493
273800,mesh:D009641
273800,mesh:D009842
273800,mesh:D006649
273800,mesh:D012709
273800,mesh:D007158
273800,mesh:D004358
273800,mesh:D005199
273800,mesh:D014465
273800,mesh:D007493
273800,mesh:D013698
273800,mesh:D012801
273800,mesh:D001606
273800,mesh:D014841
273800,mesh:D004727
273800,mesh:D013728
273800,mesh:D008951
273800,mesh:D007425
273800,mesh:D010209
273800,mesh:D005081
273800,mesh:D003348
273800,mesh:D003018
273800,mesh:D012967
273800,mesh:D018715
273800,mesh:D014081
273800,mesh:D010545
273800,mesh:D003601
273800,mesh:D014471
273800,mesh:D016169
273800,mesh:D011696
273800,mesh:D013920
273800,mesh:D016364
273800,mesh:D010544
273800,mesh:D018370
273800,mesh:D003101
273800,mesh:D018821
273800,mesh:D006405
273800,mesh:D003168
273800,mesh:D010206
273800,mesh:D039341
273800,mesh:D001666
273800,mesh:D016177
273800,mesh:D007553
273800,mesh:D051571
273800,mesh:D013915
273800,mesh:D039081
273800,mesh:D004438
273800,mesh:D001963
273800,mesh:D019012
273800,mesh:D013499
273800,mesh:D039421
607554,mesh:D000328
607554,mesh:D005784
607554,mesh:D002880
607554,mesh:D002874
607554,mesh:D006801
607554,mesh:D020022
607554,mesh:D018895
607554,mesh:D005819
607554,mesh:D017668
607554,mesh:D005838
607554,mesh:D012307
607554,mesh:D000293
607554,mesh:D010375
607554,mesh:D017422
607554,mesh:D000818
607554,mesh:D008875
607554,mesh:D000368
607554,mesh:D005799
607554,mesh:D011249
607554,mesh:D018408
607554,mesh:D015995
607554,mesh:D008040
607554,mesh:D009154
607554,mesh:D006239
607554,mesh:D002648
607554,mesh:D020125
607554,mesh:D055815
607554,mesh:D008126
607554,mesh:D015203
607554,mesh:D019556
607554,mesh:D007231
607554,mesh:D002478
607554,mesh:D003937
607554,mesh:D011247
607554,mesh:D003062
607554,mesh:D006325
607554,mesh:D020080
607554,mesh:D002681
607554,mesh:D002879
607554,mesh:D007235
607554,mesh:D005820
607554,mesh:D004562
607554,mesh:D004591
607554,mesh:D005315
607554,mesh:D018570
607554,mesh:D019683
607554,mesh:D032383
607554,mesh:D008133
607554,mesh:D000200
607554,mesh:D004594
607554,mesh:D006352
607554,mesh:D018900
607554,mesh:D015222
607554,mesh:D001281
607554,mesh:D007473
607554,mesh:D015221
607554,mesh:D007234
607554,mesh:D000465
607554,mesh:D051657
607554,mesh:D024642
607554,mesh:D001919
607554,mesh:D051656
607554,mesh:D029597
607554,mesh:D062554
607554,mesh:D051638
607554,mesh:D013318
171300,mesh:D008433
171300,mesh:D000328
171300,mesh:D005091
171300,mesh:D009447
171300,mesh:D016133
171300,mesh:D008969
171300,mesh:D012008
171300,mesh:D007223
171300,mesh:D000595
171300,mesh:D011393
171300,mesh:D006579
171300,mesh:D002874
171300,mesh:D006801
171300,mesh:D020022
171300,mesh:D001483
171300,mesh:D002878
171300,mesh:D005819
171300,mesh:D020869
171300,mesh:D017668
171300,mesh:D000293
171300,mesh:D007150
171300,mesh:D002872
171300,mesh:D010375
171300,mesh:D017422
171300,mesh:D000818
171300,mesh:D008875
171300,mesh:D014644
171300,mesh:D000368
171300,mesh:D051379
171300,mesh:D004252
171300,mesh:D005500
171300,mesh:D009419
171300,mesh:D009154
171300,mesh:D012016
171300,mesh:D012083
171300,mesh:D002675
171300,mesh:D002648
171300,mesh:D002001
171300,mesh:D015894
171300,mesh:D020125
171300,mesh:D000367
171300,mesh:D055815
171300,mesh:D055106
171300,mesh:D002885
171300,mesh:D001794
171300,mesh:D021122
171300,mesh:D018807
171300,mesh:D006973
171300,mesh:D009378
171300,mesh:D020641
171300,mesh:D000483
171300,mesh:D015331
171300,mesh:D004247
171300,mesh:D006934
171300,mesh:D017354
171300,mesh:D009474
171300,mesh:D011506
171300,mesh:D000369
171300,mesh:D002869
171300,mesh:D014057
171300,mesh:D012737
171300,mesh:D007231
171300,mesh:D002478
171300,mesh:D018345
171300,mesh:D008957
171300,mesh:D011433
171300,mesh:D003937
171300,mesh:D012333
171300,mesh:D002352
171300,mesh:D007438
171300,mesh:D002819
171300,mesh:D020868
171300,mesh:D002886
171300,mesh:D001741
171300,mesh:D044767
171300,mesh:D018095
171300,mesh:D018389
171300,mesh:D005190
171300,mesh:D008854
171300,mesh:D013118
171300,mesh:D006651
171300,mesh:D015342
171300,mesh:D011401
171300,mesh:D013577
171300,mesh:D009456
171300,mesh:D012189
171300,mesh:D011446
171300,mesh:D008954
171300,mesh:D002879
171300,mesh:D015151
171300,mesh:D017209
171300,mesh:D017386
171300,mesh:D017353
171300,mesh:D009386
171300,mesh:D000831
171300,mesh:D005820
171300,mesh:D008279
171300,mesh:D005215
171300,mesh:D051381
171300,mesh:D007839
171300,mesh:D004268
171300,mesh:D029721
171300,mesh:D007680
171300,mesh:D009857
171300,mesh:D056426
171300,mesh:D012150
171300,mesh:D019656
171300,mesh:D009693
171300,mesh:D008565
171300,mesh:D000319
171300,mesh:D051100
171300,mesh:D006391
171300,mesh:D002277
171300,mesh:D005934
171300,mesh:D008928
171300,mesh:D014481
171300,mesh:D020794
171300,mesh:D007962
171300,mesh:D012680
171300,mesh:D055758
171300,mesh:D008113
171300,mesh:D004837
171300,mesh:D023281
171300,mesh:D025521
171300,mesh:D004295
171300,mesh:D013385
171300,mesh:D006367
171300,mesh:D007506
171300,mesh:D034622
171300,mesh:D002889
171300,mesh:D006258
171300,mesh:D000230
171300,mesh:D024182
171300,mesh:D011518
171300,mesh:D014648
171300,mesh:D011237
171300,mesh:D008910
171300,mesh:D009362
171300,mesh:D050976
171300,mesh:D015536
171300,mesh:D009097
171300,mesh:D042963
171300,mesh:D006470
171300,mesh:D010088
171300,mesh:D011519
171300,mesh:D001749
171300,mesh:D056915
171300,mesh:D016547
171300,mesh:D014188
171300,mesh:D009638
171300,mesh:D010673
171300,mesh:D004298
171300,mesh:D004273
171300,mesh:D013194
171300,mesh:D010235
171300,mesh:D009380
171300,mesh:D000310
171300,mesh:D006623
