?diseaseid	?hpoid
"101600"	"0000486"
"101600"	"0000494"
"101600"	"0000006"
"101600"	"0001249"
"101600"	"0000238"
"101600"	"0005280"
"101600"	"0000303"
"101600"	"0000586"
"101600"	"0000678"
"101600"	"0010055"
"101600"	"0011304"
"101600"	"0000244"
"101600"	"0000452"
"101600"	"0000453"
"101600"	"0003041"
"101600"	"0004440"
"101600"	"0000218"
"101600"	"0002308"
"101600"	"0002676"
"101600"	"0002780"
"101600"	"0003070"
"101600"	"0003196"
"101600"	"0003795"
"101600"	"0005347"
"101600"	"0006101"
"101600"	"0006110"
"101800"	"0000028"
"101800"	"0000316"
"101800"	"0000327"
"101800"	"0000486"
"101800"	"0000006"
"101800"	"0001249"
"101800"	"0000248"
"101800"	"0000238"
"101800"	"0005280"
"101800"	"0000365"
"101800"	"0000303"
"101800"	"0000684"
"101800"	"0000689"
"101800"	"0000135"
"101800"	"0000286"
"101800"	"0000455"
"101800"	"0000635"
"101800"	"0000648"
"101800"	"0000668"
"101800"	"0000858"
"101800"	"0000995"
"101800"	"0001169"
"101800"	"0001530"
"101800"	"0001847"
"101800"	"0002650"
"101800"	"0003083"
"101800"	"0003165"
"101800"	"0003416"
"101800"	"0004279"
"101800"	"0004490"
"101800"	"0005616"
"101800"	"0005756"
"101800"	"0008450"
"101800"	"0008479"
"101800"	"0008873"
"101800"	"0009803"
"101800"	"0010049"
"101800"	"0010230"
"101800"	"0010743"
"101805"	"0000028"
"101805"	"0000349"
"101805"	"0000954"
"101805"	"0000006"
"101805"	"0000252"
"101805"	"0004279"
"101805"	"0000047"
"101805"	"0000670"
"101805"	"0001511"
"101805"	"0004467"
"101840"	"0000006"
"101840"	"0002213"
"101840"	"0012393"
"101840"	"0200034"
"101840"	"0200035"
"101850"	"0000006"
"101850"	"0000962"
"101850"	"0200016"
"101900"	"0000006"
"101900"	"0000962"
"101900"	"0200016"
"101900"	"0001807"
"101900"	"0025092"
"102000"	"0000006"
"102000"	"0200015"
"102100"	"0000006"
"102100"	"0000303"
"102100"	"0000098"
"102100"	"0000478"
"102100"	"0000977"
"102100"	"0001176"
"102100"	"0001833"
"102100"	"0010541"
"102100"	"0030314"
"102150"	"0000006"
"102150"	"0001176"
"102150"	"0000153"
