?diseaseid	?meshid
"152700"	D000945
"152700"	D001327
"152700"	D002885
"152700"	D003165
"152700"	D003208
"152700"	D003429
"152700"	D004248
"152700"	D005719
"152700"	D006386
"152700"	D006706
"152700"	D006968
"152700"	D007070
"152700"	D007074
"152700"	D007075
"152700"	D007153
"152700"	D007167
"152700"	D007376
"152700"	D007694
"152700"	D007959
"152700"	D008213
"152700"	D008231
"152700"	D009000
"152700"	D009518
"152700"	D011487
"152700"	D012190
"152700"	D013045
"152700"	D013601
"152700"	D013950
"152700"	D013954
"152700"	D014161
"152700"	D015496
"152700"	D015703
"152700"	D015894
"152700"	D016026
"152700"	D016176
"152700"	D016475
"152700"	D017209
"152700"	D018655
"152700"	D003850
"152700"	D006402
"152700"	D010750
"152700"	D015534
"152700"	D001323
"152700"	D001798
"152700"	D004285
"152700"	D004837
"152700"	D018628
"152700"	D019175
"152700"	D000939
"152700"	D001797
"152700"	D003433
"152700"	D005060
"152700"	D005189
"152700"	D006111
"152700"	D006630
"152700"	D006639
"152700"	D007194
"152700"	D008910
"152700"	D009656
"152700"	D009664
"152700"	D010084
"152700"	D011336
"152700"	D013234
"152700"	D016678
"152700"	D005843
"152700"	D006254
"152700"	D012441
"152700"	D000704
"152700"	D006624
"152700"	D008562
"152700"	D008569
"152700"	D010597
"152700"	D016555
"152700"	D020413
"152700"	D036341
"152700"	D040641
"152700"	D055106
"152700"	D005938
"152700"	D006830
"152700"	D011241
"152700"	D011507
"152700"	D001172
"152700"	D006377
"152700"	D006683
"152700"	D006684
"152700"	D008285
"152700"	D014409
"152700"	D050378
"152700"	D058851
"152700"	D060908
"152700"	D024202
"152700"	D047369
"152700"	D011810
"152700"	D000544
"152700"	D000918
"152700"	D001522
"152700"	D003181
"152700"	D007371
"152700"	D008156
"152700"	D008869
"152700"	D011618
"152700"	D011971
"152700"	D011992
"152700"	D012213
"152700"	D012372
"152700"	D013959
"152700"	D015233
"152700"	D015415
"152700"	D015536
"152700"	D015551
"152700"	D016282
"152700"	D016564
"152700"	D016753
"152700"	D017463
"152700"	D017475
"152700"	D019389
"152700"	D020440
"152700"	D020816
"152700"	D048868
"152700"	D049452
"152700"	D051880
"152700"	D053764
"152700"	D053766
"152700"	D053829
"152700"	D056726
"152700"	D058255
"152700"	D009519
"152700"	D000569
"152700"	D035843
"152700"	D005921
"152700"	D007055
"152700"	D000683
"152700"	D008264
"152700"	D012859
"152700"	D011174
"152700"	D014657
"152700"	D029721
"152700"	D000799
"152700"	D002522
"152700"	D004261
"152700"	D004283
"152700"	D007375
"152700"	D011451
"152700"	D016861
"152700"	D019014
"152700"	D039481
"152700"	D051017
"152700"	D051546
"152700"	D052246
"152700"	D053222
"152700"	D004781
"152700"	D010679
"152700"	D000349
"152700"	D000679
"152700"	D001772
"152700"	D010743
"152700"	D001777
"152700"	D056915
"152700"	D008107
"152700"	D020161
"152700"	D001324
"152700"	D012045
"152700"	D017411
"152700"	D055517
"152700"	D000888
"152700"	D000937
"152700"	D001167
"152700"	D003167
"152700"	D003169
"152700"	D003176
"152700"	D008180
"152700"	D008861
"152700"	D019869
"152700"	D014744
"152700"	D000961
"152700"	D005802
"152700"	D007125
"152700"	D012217
"152700"	D017421
"152700"	D051153
"152700"	D001780
"152700"	D002308
"152700"	D009504
"152700"	D010314
"152700"	D017153
"152700"	D053482
"152700"	D059811
"152700"	D020871
"152700"	D002738
"152700"	D003713
"152700"	D006657
"152700"	D007963
"152700"	D013163
"152700"	D016328
"152700"	D017951
"152700"	D007143
"152700"	D000889
"152700"	D020121
"152700"	D008171
"152700"	D017027
"152700"	D013315
"152700"	D000974
"152700"	D006183
"152700"	D011948
"152700"	D015803
"152700"	D050882
"152700"	D051034
"152700"	D000956
"152700"	D000936
"152700"	D000954
"152700"	D008288
"152700"	D019061
"152700"	D008206
"152700"	D009059
"152700"	D014456
"152700"	D050797
"152700"	D007128
"152700"	D021962
"152700"	D006942
"152700"	D011043
"152700"	D050835
"152700"	D053634
"152700"	D059866
"152700"	D000107
"152700"	D020868
"152700"	D003298
"152700"	D001770
"152700"	D007146
"152700"	D007147
"152700"	D010954
"152700"	D011947
"152700"	D002097
"152700"	D019063
"152700"	D020382
"152700"	D022423
"152700"	D045162
"152700"	D051193
"152700"	D053594
"152700"	D002353
"152700"	D016898
"152700"	D008232
"152700"	D008862
"152700"	D001007
"152700"	D017450
"152700"	D017089
"152700"	D003602
"152700"	D007511
"152700"	D007841
"152700"	D010585
"152700"	D017493
"152700"	D015935
"152700"	D053496
"152700"	D018900
"152700"	D006723
"152700"	D017452
"152700"	D051767
"152700"	D014310
"152700"	D010003
"152700"	D006900
"152700"	D010787
"152700"	D000914
"152700"	D007108
"152700"	D008070
"152700"	D016130
"152700"	D019169
"152700"	D061026
"152700"	D012698
"152700"	D054596
"152700"	D008233
"152700"	D013745
"152700"	D051217
"152700"	D018124
"152700"	D004893
"152700"	D009393
"152700"	D008181
"152700"	D009707
"152700"	D018808
"152700"	D005335
"152700"	D005356
"152700"	D007372
"152700"	D019463
"152700"	D020297
"152700"	D053303
"152700"	D020298
"152700"	D017464
"152700"	D006825
"152700"	D054562
"152700"	D007630
"152700"	D000407
"152700"	D002457
"152700"	D009696
"152700"	D008559
"152700"	D016194
"152700"	D014890
"152700"	D011921
"152700"	D011342
"152700"	D010201
"152700"	D018956
"152700"	D006433
"152700"	D013588
"152700"	D000962
"152700"	D001688
"152700"	D002369
"152700"	D003622
"152700"	D005090
"152700"	D007130
"152700"	D008177
"152700"	D008178
"152700"	D008179
"152700"	D008814
"152700"	D010767
"152700"	D010915
"152700"	D010998
"152700"	D012157
"152700"	D012700
"152700"	D014300
"152700"	D015934
"152700"	D017492
"152700"	D017634
"152700"	D019268
"152700"	D051199
"152700"	D051786
"152700"	D053261
"152700"	D053264
"152700"	D053278
"152700"	D053301
"140600"	D000328
"140600"	D005799
"140600"	D005808
"140600"	D006801
"140600"	D008875
"140600"	D010375
"140600"	D000368
"140600"	D000369
"140600"	D002894
"140600"	D005190
"140600"	D005387
"140600"	D005787
"140600"	D008040
"140600"	D009679
"140600"	D010641
"140600"	D011110
"140600"	D012307
"140600"	D015331
"140600"	D016326
"140600"	D002874
"140600"	D006225
"140600"	D000595
"140600"	D005819
"140600"	D005820
"140600"	D006239
"140600"	D008969
"140600"	D020125
"140600"	D017386
"140600"	D002889
"140600"	D002893
"140600"	D002897
"140600"	D005384
"140600"	D018709
"140600"	D015894
"140600"	D016555
