geneid1,geneid2
27316,8493
25873,6147
2252,2260
4000,64949
5516,55917
10459,56478
11244,1647
10286,84991
10524,57761
2058,6139
54464,8906
125115,54910
497661,6175
6232,7133
2309,2631
10569,57187
6208,8452
11075,7024
6386,6659
1655,6431
10725,50943
644890,79582
409,8241
1386,3456
814,9759
55705,79084
26959,7988
7358,7358
10529,8379
1501,5664
257397,5300
863,8841
6159,6228
9048,9048
1616,7157
27037,8503
25996,9474
23020,54881
80012,8473
6175,920
2560,5566
3799,5092
286499,54458
3932,3937
10202,2771
57171,6184
2781,8601
51428,9785
5682,5692
60343,64581
5689,7414
388677,57088
116840,64927
51593,57187
23321,55284
3838,672
27089,9167
4842,9228
2261,9887
5789,5802
2879,51
29761,3851
4005,84707
2932,8543
37,9775
114294,28973
1025,8812
4750,546
10921,667
51343,996
1445,5803
6624,7189
196,2033
26240,284001
4536,4696
497661,6132
3609,409
6605,84289
2147,2151
386682,4336
26013,8370
29844,85403
1857,5291
10250,51729
3636,80271
5001,988
23450,6203
51322,51322
1024,2967
51747,8559
6135,7419
3550,9785
4519,4700
8404,865
3848,3852
114,5143
5500,84988
65992,80279
23345,5609
51202,6201
1655,51340
3838,64425
51645,79228
24148,9092
23254,84445
5315,55577
127557,55388
329,7286
2065,5921
23236,4926
2648,6884
1788,23468
332,7514
4809,55696
334,3725
79002,94104
51649,64983
10421,9092
6427,6430
7644,81565
6882,8805
5925,840
54891,64006
2197,6209
2553,8615
2130,7738
10207,27165
50650,5987
3312,3551
57085,79922
51639,9045
3182,8626
4700,4702
107,8622
478,6895
29796,374291
6635,7533
65265,80321
51366,5970
1956,5604
23054,6714
2159,2159
27335,3326
4690,9963
170506,6191
51649,6139
2110,4696
10421,24144
4688,5880
23483,5295
6181,72
51127,7321
3690,4811
7042,9392
7531,7532
29102,8148
51747,9589
1600,2065
285622,64098
5295,9228
10319,3912
200734,7016
3219,7205
4792,9612
310,333
5300,9088
10250,4809
10286,22938
3398,5934
5599,6885
51747,6629
6193,6950
382,9521
1432,1649
10573,4157
841,8767
23236,5578
283093,8848
22894,23517
4113,6159
23517,8449
51388,54550
10768,5715
1326,1385
6188,6745
3620,7166
5308,5351
109,8622
51073,51263
140803,140803
11331,6950
1956,3855
23451,24144
79656,8328
51164,5987
3801,84062
55957,8366
9045,9775
122622,7534
1191,7804
4216,7534
1019,5757
9329,9349
6139,6169
1939,3074
817,817
10933,79618
10902,60
10283,51428
10320,8445
7424,7424
10413,3798
168544,6774
2771,6229
6132,6206
11164,3106
23398,9416
10114,7791
137872,7915
6141,6949
6625,9716
5660,9189
1462,9510
11140,6794
11011,25842
3643,8503
1445,5829
10856,3185
6136,6142
3133,3134
2801,53615
4190,4190
3688,3959
2783,2792
6427,9775
116540,84101
2091,219541
5578,673
5983,63922
1982,8661
3326,9020
1406,83606
84932,92689
4691,51602
