drugid	umls_cui_from_meddra
DB07768	C0033777
DB07768	C0034065
DB07768	C0520546
DB07768	C2721578
DB07768	C0856968
DB07768	C0015230
DB07768	C1519353
DB07768	C0085641
DB07768	C0427458
DB07768	C0877497
DB07768	C0152169
DB07768	C0035078
DB07768	C1565489
DB07768	C0558489
DB07768	C0476273
DB07768	C0035455
DB07768	C0035854
DB07768	C0036508
DB07768	C1325847
DB07768	C0036830
DB07768	C0857983
DB07768	C0036974
DB07768	C0037199
DB07768	C0037274
DB07768	C0152030
DB07768	C0037315
DB07768	C0851578
DB07768	C0037384
DB07768	C0263978
DB07768	C0037859
DB07768	C0877144
DB07768	C0677500
DB07768	C0038362
DB07768	C0241705
DB07768	C0011057
DB07768	C0543467
DB07768	C0549433
DB07768	C0038990
DB07768	C0700590
DB07768	C0038999
DB07768	C0039070
DB07768	C0024141
DB07768	C0039231
DB07768	C0235290
DB07768	C0234233
DB07768	C0233494
DB07768	C0156312
DB07768	C0039584
DB07768	C0039591
DB07768	C0241357
DB07768	C0701836
DB07768	C0236071
DB07768	C0040034
DB07768	C0040038
DB07768	C0040053
DB07768	C0040264
DB07768	C0040460
DB07768	C0438717
DB07768	C0007787
DB07768	C0041582
DB07768	C0178298
DB07768	C0041912
DB07768	C0041969
DB07768	C0152032
DB07768	C0042024
DB07768	C0080274
DB07768	C0042075
DB07768	C0042029
DB07768	C0231365
DB07768	C0549418
DB07768	C1167965
DB07768	C0080276
DB07768	C0042109
DB07768	C0241618
DB07768	C0042341
DB07768	C0042401
DB07768	C1142412
DB07768	C0042485
DB07768	C1861172
DB07768	C0042571
DB07768	C0151883
DB07768	C0042755
DB07768	C0042907
DB07768	C0042963
DB07768	C1963790
DB07768	C0043094
DB07768	C0349464
DB07886	C0000731
DB07886	C0000737
DB07886	C0232492
DB07886	C0000833
DB07886	C0702166
DB07886	C0263437
DB07886	C0175167
DB07886	C0948089
DB07886	C1735864
DB07886	C0151467
DB07886	C0233472
DB07886	C0151905
DB07886	C0085570
DB07886	C0162820
DB07886	C0002453
DB07886	C0002792
DB07886	C0340865
DB07886	C0002994
DB07886	C0003123
DB07886	C0003467
DB07886	C0877661
DB07886	C1167675
DB07886	C0521490
DB07886	C0521491
DB07886	C0151505
DB07886	C0003708
DB07886	C0003811
DB07886	C0022408
DB07886	C0085660
DB07886	C0004093
DB07886	C0333641
DB07886	C0033845
DB07886	C0232841
DB07886	C0456909
DB07886	C0015967
DB07886	C0428977
DB07886	C0541820
DB07886	C0018790
DB07886	C0018801
DB07886	C0018802
DB07886	C0018800
DB07886	C0086543
DB07886	C0235259
DB07886	C0009241
DB07886	C0338656
DB07886	C0009782
DB07886	C0009938
DB07886	C0036572
DB07886	C0332601
DB07886	C0232462
DB07886	C0011253
DB07886	C0278079
DB07886	C0011603
DB07886	C0234894
DB07886	C0011616
DB07886	C0263449
DB07886	C0011849
DB07886	C0241863
DB07886	C0011991
DB07886	C0221165
DB07886	C0234215
DB07886	C0012833
DB07886	C1510472
DB07886	C0152128
DB07886	C0314719
DB07886	C0151908
DB07886	C0013395
DB07886	C0013491
DB07886	C0013595
DB07886	C0342579
DB07886	C0013922
DB07886	C0340726
DB07886	C0014130
DB07886	C0014544
DB07886	C0302295
DB07886	C0041834
DB07886	C0239488
DB07886	C0235146
DB07886	C0015300
DB07886	C0015397
DB07886	C0013928
DB07886	C0015672
DB07886	C1443060
DB07886	C0860434
DB07886	C0268000
DB07886	C0016436
DB07886	C0016658
DB07886	C0026946
DB07886	C0038358
DB07886	C0017160
DB07886	C0017178
DB07886	C0687713
DB07886	C0017601
DB07886	C0271650
DB07886	C0017979
DB07886	C0151686
DB07886	C0518015
DB07886	C0019080
DB07886	C0018524
DB07886	C0018681
DB07886	C0019209
DB07886	C0019340
DB07886	C0019372
DB07886	C0019521
DB07886	C0019572
DB07886	C0020458
DB07886	C0020488
DB07886	C0020517
DB07886	C0020538
DB07886	C0020555
DB07886	C0007194
DB07886	C0020621
DB07886	C0020649
DB07886	C2047937
DB07886	C0021053
DB07886	C0151692
DB07886	C0232461
DB07886	C0235409
DB07886	C0009450
DB07886	C1384353
DB07886	C0851341
DB07886	C0021368
DB07886	C3263723
DB07886	C0917801
DB07886	C0151740
DB07886	C0234708
DB07886	C0022107
DB07886	C0152031
DB07886	C0023380
DB07886	C0023518
DB07886	C0162835
DB07886	C0041657
DB07886	C0231218
DB07886	C0162429
DB07886	C0338831
DB07886	C0577559
DB07886	C0025289
DB07886	C0156404
DB07886	C0004936
DB07886	C0026113
DB07886	C0085622
DB07886	C0085633
DB07886	C0016655
DB07886	C0240417
DB07886	C0151786
DB07886	C0948594
DB07886	C0231528
DB07886	C0027051
DB07886	C0018813
DB07886	C0026848
DB07886	C0027497
DB07886	C0027540
DB07886	C0027765
DB07886	C0027813
DB07886	C0442874
DB07886	C0031117
DB07886	C0854100
DB07886	C0013604
DB07886	C0239295
DB07886	C0151970
DB07886	C0014868
DB07886	C2586050
DB07886	C0029118
DB07886	C0029134
DB07886	C0029408
DB07886	C0029445
DB07886	C0029456
DB07886	C0030193
DB07886	C0030305
DB07886	C0001339
DB07886	C0267940
DB07886	C0030353
DB07886	C0030554
DB07886	C0221166
DB07886	C0030486
DB07886	C0030920
DB07886	C0240735
DB07886	C0031256
DB07886	C0410198
DB07886	C0033771
DB07886	C0033774
DB07886	C0033844
DB07886	C0033975
DB07886	C0034063
DB07886	C0015230
DB07886	C0423791
DB07886	C0267596
DB07886	C0332575
DB07886	C0036341
DB07886	C0423273
DB07886	C0271738
DB07886	C0442886
DB07886	C0036974
DB07886	C0151514
DB07886	C0241057
DB07886	C0262977
DB07886	C0151907
DB07886	C0037274
DB07886	C0237849
DB07886	C0162834
DB07886	C0037278
DB07886	C0152030
DB07886	C0423773
DB07886	C0152459
DB07886	C0262431
