"drugid"	"geneid"
"DB00588"	"2908"
"DB00591"	"2908"
"DB00603"	"5241"
"DB00604"	"3360"
"DB00611"	"4988"
"DB00611"	"4986"
"DB00612"	"153"
"DB00621"	"367"
"DB00623"	"1813"
"DB00635"	"2908"
"DB00652"	"4988"
"DB00652"	"4986"
"DB00679"	"1813"
"DB00700"	"4306"
"DB00708"	"4988"
"DB00712"	"5743"
"DB00712"	"5742"
"DB00714"	"1812"
"DB00714"	"1813"
"DB00715"	"6532"
"DB00731"	"6833"
"DB00737"	"3269"
"DB00748"	"3269"
"DB00768"	"3269"
"DB00783"	"2100"
"DB00783"	"2099"
"DB00796"	"185"
"DB00804"	"1128"
"DB00808"	"6559"
"DB00813"	"4988"
"DB00814"	"5743"
"DB00831"	"1813"
"DB00844"	"4988"
"DB00844"	"4986"
"DB00850"	"1813"
"DB00854"	"4988"
"DB00875"	"1812"
"DB00875"	"1813"
"DB00877"	"2475"
"DB00896"	"2908"
"DB00899"	"4988"
"DB00921"	"4988"
"DB00921"	"4986"
"DB00934"	"6530"
"DB00938"	"154"
"DB00950"	"3269"
"DB00957"	"5241"
"DB00960"	"153"
"DB00966"	"185"
"DB00972"	"3269"
"DB00975"	"2030"
"DB01050"	"5743"
"DB01050"	"5742"
"DB01069"	"3269"
"DB01075"	"3269"
"DB01104"	"6532"
"DB01106"	"3269"
"DB01114"	"3269"
"DB01120"	"6833"
"DB01136"	"155"
"DB01151"	"6530"
"DB01151"	"6532"
"DB01171"	"4128"
"DB01176"	"3269"
"DB01184"	"1813"
"DB01193"	"153"
"DB01200"	"1813"
"DB01203"	"154"
"DB01214"	"155"
"DB01214"	"153"
"DB01214"	"154"
"DB01233"	"1813"
"DB01233"	"3360"
"DB01235"	"1816"
"DB01235"	"1815"
"DB01238"	"1813"
"DB01238"	"3356"
"DB01238"	"3350"
"DB01240"	"5739"
"DB01242"	"6530"
"DB01242"	"6532"
"DB01251"	"6833"
"DB01267"	"1813"
"DB01267"	"3356"
"DB01268"	"2324"
"DB01268"	"1435"
"DB01268"	"2321"
