,accuracy,average_precision,f1,precision,recall,roc_auc
0,0.8410852713178295,0.7836834260939477,0.6846153846153846,0.89,0.55625,0.8145979634831461
1,0.8640776699029126,0.8337392888758675,0.7307692307692308,0.95,0.59375,0.8577728873239437
2,0.8,0.8095055766497591,0.6199261992619927,0.9333333333333333,0.46408839779005523,0.8326330763886591
3,0.8081395348837209,0.8064347698912219,0.6024096385542169,0.9615384615384616,0.43859649122807015,0.8349605898804981
4,0.811284046692607,0.7674121541718589,0.6196078431372549,0.8681318681318682,0.4817073170731707,0.8186933797909408
5,0.8638132295719845,0.8638262504873943,0.7535211267605634,0.9385964912280702,0.6294117647058823,0.8784969220246239
6,0.8197674418604651,0.8125211503350596,0.6930693069306931,0.8898305084745762,0.5675675675675675,0.8191230505429903
7,0.8236434108527132,0.7811751813113058,0.689419795221843,0.9017857142857143,0.5580110497237569,0.8038261730023913
8,0.8682170542635659,0.8393258926369818,0.7462686567164178,0.9615384615384616,0.6097560975609756,0.8747834672949002
9,0.8333333333333334,0.8023782001441124,0.7171052631578947,0.8934426229508197,0.5989010989010989,0.8264460090807397
